,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
0,Footscray,10/30 Pickett St,1,u,170000,PI,Burnham,1/07/2017,5.1,3011,1,1,0.0,30.0,26.0,2013.0,Maribyrnong,-37.80141,144.89587,Western Metropolitan,7570
1,Caulfield,30 Pyne St,4,h,131000,PI,Rodney,25/02/2017,8.9,3162,4,1,2.0,499.0,155.0,1920.0,Glen Eira,-37.8864,145.0242,Southern Metropolitan,2379
2,Coburg,171 Moreland Rd,4,h,145000,PI,Jellis,4/06/2016,7.8,3058,3,1,1.0,536.0,164.0,1910.0,Moreland,-37.7555,144.9658,Northern Metropolitan,11204
3,Albion,10/117 Anderson Rd,1,u,185000,S,hockingstuart,22/08/2016,13.9,3020,1,1,1.0,2347.0,43.0,1975.0,Brimbank,-37.7852,144.8272,Western Metropolitan,2185
4,Albion,8/6 Ridley St,1,u,145000,PI,Biggin,28/05/2016,13.9,3020,2,1,1.0,36.0,38.416666666666664,,Brimbank,-37.7833,144.8266,Western Metropolitan,2185
5,Hawthorn,17/17 Park St,1,u,160000,VB,HAR,8/04/2017,4.6,3122,1,1,0.0,322.0,38.416666666666664,2009.0,Boroondara,-37.8198,145.0373,Southern Metropolitan,11308
6,Albion,1/121 Anderson Rd,1,u,200000,VB,FN,20/05/2017,13.9,3020,1,1,1.0,1175.0,35.0,1970.0,Brimbank,-37.7849,144.8272,Western Metropolitan,2185
7,Brunswick,4/831 Park St,1,u,170000,VB,Nelson,16/09/2017,5.2,3056,1,1,0.0,1250.0,38.416666666666664,,,-37.77685,144.95188000000002,Northern Metropolitan,11918
8,Footscray,202/51 Gordon St,1,u,85000,PI,Burnham,3/09/2016,6.4,3011,1,1,0.0,516.25,38.416666666666664,2007.0,Maribyrnong,-37.7911,144.89,Western Metropolitan,7570
9,Kingsville,2/35 Kingsville St,1,u,200000,VB,Greg,30/07/2016,7.8,3012,1,1,1.0,516.25,38.0,1960.0,Maribyrnong,-37.8089,144.8788,Western Metropolitan,1808
10,Albion,5/25 Ridley St,2,u,190000,SP,Burnham,30/07/2016,13.9,3020,2,1,1.0,516.25,38.416666666666664,,Brimbank,-37.7839,144.8239,Western Metropolitan,2185
11,West Footscray,8/132 Rupert St,1,u,185000,PI,Jas,29/04/2017,8.2,3012,1,1,1.0,516.25,38.416666666666664,,Maribyrnong,-37.798,144.8672,Western Metropolitan,5058
12,Box Hill,7/12 Oxford St,1,u,340000,SP,Lindellas,18/03/2017,13.1,3128,1,1,1.0,29.0,34.79723765432098,,Whitehorse,-37.8215,145.1214,Eastern Metropolitan,4605
13,Sunshine North,2/86 Phoenix St,2,u,315000,PI,Douglas,8/10/2016,13.3,3020,2,1,1.0,160.0,34.79723765432098,,Brimbank,-37.7756,144.8345,Western Metropolitan,4217
14,Essendon,4/18 Shaftesbury St,1,u,280000,S,Frank,27/05/2017,7.5,3040,1,1,1.0,28.0,34.79723765432098,1970.0,Moonee Valley,-37.75209,144.92255,Western Metropolitan,9264
15,Bentleigh,4/463 South Rd,2,u,380000,PI,Hodges,8/07/2017,11.4,3204,2,1,1.0,550.0,62.0,2011.0,Glen Eira,-37.9332,145.03794,Southern Metropolitan,6795
16,Altona North,4/221 Blackshaws Rd,2,u,292000,S,Jas,28/08/2016,11.1,3025,2,1,1.0,153.0,70.0,1970.0,Hobsons Bay,-37.8332,144.8649,Western Metropolitan,5132
17,Armadale,7/53 Wattletree Rd,1,u,390000,S,Jellis,14/05/2016,6.3,3143,1,1,0.0,881.0,34.79723765432098,,Stonnington,-37.8614,145.0222,Southern Metropolitan,4836
18,Ascot Vale,18/54 Epsom Rd,2,u,390000,PI,Jellis,25/02/2017,5.9,3032,2,1,1.0,1957.0,69.0,2012.0,Moonee Valley,-37.7731,144.9074,Western Metropolitan,6567
19,Balwyn,9/204 Whitehorse Rd,1,h,390000,VB,Jellis,10/09/2016,9.7,3103,1,1,1.0,740.0,34.79723765432098,,Boroondara,-37.8125,145.0775,Southern Metropolitan,5682
20,Box Hill,1/7 Glenmore St,1,u,288000,SP,hockingstuart,12/06/2016,13.1,3128,1,1,1.0,774.0,34.79723765432098,1970.0,Whitehorse,-37.8241,145.1262,Eastern Metropolitan,4605
21,Brunswick,10/285 Brunswick Rd,1,u,370000,S,Jellis,26/07/2016,5.2,3056,1,1,1.0,540.0,45.0,1970.0,Moreland,-37.7766,144.9574,Northern Metropolitan,11918
22,Brunswick West,6/524 Moreland Rd,2,u,400000,SP,Nelson,10/12/2016,5.9,3055,2,1,1.0,73.0,64.0,1960.0,Moreland,-37.7528,144.9368,Northern Metropolitan,7082
23,Brunswick West,3/546 Moreland Rd,2,u,370000,S,Ray,18/03/2017,5.9,3055,2,1,1.0,2120.0,59.0,1960.0,Moreland,-37.7524,144.9347,Northern Metropolitan,7082
24,Carnegie,8/54 Moonya Rd,1,u,346000,S,Woodards,4/03/2017,11.4,3163,1,1,1.0,60.0,48.0,1970.0,Glen Eira,-37.8965,145.0618,Southern Metropolitan,7822
25,Caulfield,2/19 Ash Gr,1,u,323000,S,hockingstuart,4/03/2017,8.9,3162,1,1,1.0,820.0,34.79723765432098,,Glen Eira,-37.8866,145.0322,Southern Metropolitan,2379
26,Caulfield North,8/359 Balaclava Rd,1,u,290000,VB,hockingstuart,10/12/2016,8.1,3161,1,1,1.0,952.0,43.0,1970.0,Glen Eira,-37.8744,145.0371,Southern Metropolitan,6923
